;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;G1-KRO1100;Ballaktivitet;;11;13.mar;tirsdag;1;08:15-09:45;Simen Thorrud;Idrettshall;Praktisk;;;4317208:15-09:45Simen Thorrud;4317208:15-09:45Idrettshall;1;1;1
;BI-IDR1301;Ernæring;;11;13.mar;tirsdag;f;08:15-11:45;Marthe Bottolfs;;Teori;;;4317208:15-11:45Marthe Bottolfs;4317208:15-11:45;;;
;G1-KRO1100;Fotball;;11;13.mar;tirsdag;2;10:15-11:45;Markus Johansen Aasland;Ute;Praktisk;;;4317210:15-11:45Markus Johansen Aasland;4317210:15-11:45Ute;1;1;1
;BI-FAH2300;Økt 9;;11;13.mar;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4317212:15-15:45Anne Sæther;4317212:15-15:45;1;1;1
;MG1KR2;Vinterkurs;;11;13.mar;tirsdag;5;Hele dagen;???;;;Stokke stadion - ski?;;43172Hele dagen???;43172Hele dagen;;;
;MG2KR2;Vinterkurs;;11;13.mar;tirsdag;5;Hele dagen;???;;;Stokke stadion - ski?;;43172Hele dagen???;43172Hele dagen;2;2;2
;BI-IDR1301;Kollokvie;B;11;14.mar;onsdag;1;08:15-09:45;Markus Vagle;;Teori;;;4317308:15-09:45Markus Vagle;4317308:15-09:45;1;1;1
;BI-IDR1401;Lek og sans;A;11;14.mar;onsdag;1;08:15-09:45;???;Idrettshall;Praktisk;;;4317308:15-09:45???;4317308:15-09:45Idrettshall;;;
;G2-KRO1400;Teori KRØ;;11;14.mar;onsdag;f;08:15-11:45;???;;Teori;;;4317308:15-11:45???;4317308:15-11:45;1;1;1
;BI-IDR1301;Kollokvie;A;11;14.mar;onsdag;2;10:15-11:45;Markus Vagle;;Teori;;;4317310:15-11:45Markus Vagle;4317310:15-11:45;1;1;1
;BI-IDR1401;Lek og sans;B;11;14.mar;onsdag;2;10:15-11:45;???;Idrettshall;Praktisk;;;4317310:15-11:45???;4317310:15-11:45Idrettshall;1;1;1
;BI-IDR1401;Svømming;1;11;14.mar;onsdag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4317312:15-13:45Anne Sæther;4317312:15-13:45Svømmehall;1;1;1
;MG1KR2;Vinterkurs;;11;14.mar;onsdag;5;Hele dagen;Fredrik Lie Haugen;Eksternt;Praktisk;Vinterkurs onsdag - fredag -> Rjukan?;;43173Hele dagenFredrik Lie Haugen;43173Hele dagenEksternt;2;1;2
;MG2KR2;Vinterkurs;;11;14.mar;onsdag;5;Hele dagen;Fredrik Lie Haugen;;Praktisk;Vinterkurs onsdag - fredag -> Rjukan?;;43173Hele dagenFredrik Lie Haugen;43173Hele dagen;2;1;2
;BI-IDR1401;Svømming;2;11;15.mar;torsdag;1;08:15-09:45;Anne Sæther;Svømmehall;Praktisk;;;4317408:15-09:45Anne Sæther;4317408:15-09:45Svømmehall;1;1;1
;BI-IDR1401;Svømming;3;11;15.mar;torsdag;2;10:15-11:45;Anne Sæther;Svømmehall;Praktisk;;;4317410:15-11:45Anne Sæther;4317410:15-11:45Svømmehall;1;1;1
;BI-IDR1301;Fysiologi;;11;15.mar;torsdag;e;12:15-15:45;Heidi Lindsverk;;Teori;;;4317412:15-15:45Heidi Lindsverk;4317412:15-15:45;1;1;1
;BI-IDR1301;Ernæring;;12;19.mar;mandag;f;08:15-11:45;Marthe Bottolfs;;Teori;;;4317808:15-11:45Marthe Bottolfs;4317808:15-11:45;1;3;3
;G1-KRO1200;Teori KRØ;;12;19.mar;mandag;f;08:15-11:45;Markus Johansen Aasland;;Teori;;;4317808:15-11:45Markus Johansen Aasland;4317808:15-11:45;;;
;G2-KRO1400;Teori KRØ;;12;19.mar;mandag;f;08:15-11:45;???;;Teori;;;4317808:15-11:45???;4317808:15-11:45;1;3;3
;BI-FFH3000;Økt 10;;12;19.mar;mandag;pha;08:15-14:00;Hilde Grønningsæther;;Teori;;;4317808:15-14:00Hilde Grønningsæther;4317808:15-14:00;1;1;1
;G1-KRO1100;Fotball;;12;19.mar;mandag;3;12:15-13:45;Markus Johansen Aasland;Ute;Praktisk;;;4317812:15-13:45Markus Johansen Aasland;4317812:15-13:45Ute;1;1;1
;G2-KRO1300;Fotball;;12;19.mar;mandag;3;12:15-13:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4317812:15-13:45Fredrik Lie Haugen;4317812:15-13:45Idrettshall;1;1;1
;BI-IDR1301;Fysiologi;;12;20.mar;tirsdag;f;08:15-11:45;Eivind Andersen;;Teori;;;4317908:15-11:45Eivind Andersen;4317908:15-11:45;1;1;1
;G2-KRO1300;Friidrett;;12;20.mar;tirsdag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4317910:15-11:45Fredrik Lie Haugen;4317910:15-11:45Ute;1;1;1
;BI-IDR1401;Lek og sans;B;12;20.mar;tirsdag;3;12:15-13:45;???;Idrettshall;Praktisk;;;4317912:15-13:45???;4317912:15-13:45Idrettshall;1;1;1
;BI-FAH2300;Økt 10;;12;20.mar;tirsdag;e;12:15-15:45;Trine Thoresen;;Teori;;;4317912:15-15:45Trine Thoresen;4317912:15-15:45;1;1;1
;BI-IDR1401;Lek og sans;A;12;20.mar;tirsdag;4;14:15-15:45;???;Idrettshall;Praktisk;;;4317914:15-15:45???;4317914:15-15:45Idrettshall;1;1;1
;BI-IDR1401;Svømming;2;12;21.mar;onsdag;1;08:15-09:45;Anne Sæther;Svømmehall;Praktisk;;;4318008:15-09:45Anne Sæther;4318008:15-09:45Svømmehall;1;1;1
;G1-KRO1200;Teori KRØ;;12;21.mar;onsdag;f;08:15-11:45;Simen Thorrud;;Teori;;;4318008:15-11:45Simen Thorrud;4318008:15-11:45;1;1;1
;BI-IDR1401;Svømming;3;12;21.mar;onsdag;2;10:15-11:45;Anne Sæther;Svømmehall;Praktisk;;;4318010:15-11:45Anne Sæther;4318010:15-11:45Svømmehall;1;1;1
;BI-IDR1401;Svømming;1;12;21.mar;onsdag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4318012:15-13:45Anne Sæther;4318012:15-13:45Svømmehall;1;1;1
;G1-KRO1100;Fotball;;12;21.mar;onsdag;3;12:15-13:45;Markus Johansen Aasland;Ute;Praktisk;;;4318012:15-13:45Markus Johansen Aasland;4318012:15-13:45Ute;1;1;1
;BI-FFH3000;Økt 11;;12;22.mar;torsdag;pha;08:15-14:00;Hilde Grønningsæther;;Teori;;;4318108:15-14:00Hilde Grønningsæther;4318108:15-14:00;1;1;1
;G1-KRO1200;Teori KRØ;;14;03.apr;tirsdag;f;08:15-11:45;Markus Johansen Aasland;;teori;;;4319308:15-11:45Markus Johansen Aasland;4319308:15-11:45;1;2;2
;G2-KRO1400;Teori KRØ;;14;03.apr;tirsdag;f;08:15-11:45;???;;Teori;;;4319308:15-11:45???;4319308:15-11:45;1;2;2
;G2-KRO1300;Fotball;;14;03.apr;tirsdag;3;12:15-13:45;Fredrik Lie Haugen;Ute;Praktisk;;;4319312:15-13:45Fredrik Lie Haugen;4319312:15-13:45Ute;1;1;1
;BI-FAH2300;Økt 11;;14;03.apr;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4319312:15-15:45Anne Sæther;4319312:15-15:45;1;1;1
;G1-KRO1100;Orientering;;14;04.apr;onsdag;1;08:15-09:45;Steinar Øvreås;Ute;Praktisk;;;4319408:15-09:45Steinar Øvreås;4319408:15-09:45Ute;1;1;1
;G2-KRO1300;Studentinstruksjon;;14;04.apr;onsdag;1;08:15-09:45;???;Idrettshall;Praktisk;;;4319408:15-09:45???;4319408:15-09:45Idrettshall;1;1;1
;BI-IDR1301;Treningslære;;14;04.apr;onsdag;f;08:15-11:45;Markus Vagle;;Teori;;;4319408:15-11:45Markus Vagle;4319408:15-11:45;1;1;1
;G1-KRO1100;Studentinstruksjon;;14;04.apr;onsdag;2;10:15-11:45;Simen Thorrud;Idrettshall;Praktisk;;;4319410:15-11:45Simen Thorrud;4319410:15-11:45Idrettshall;1;1;1
;G2-KRO1300;Friidrett;;14;04.apr;onsdag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4319410:15-11:45Fredrik Lie Haugen;4319410:15-11:45Ute;1;1;1
;BI-IDR1401;Lek og sans;A;14;04.apr;onsdag;3;12:15-13:45;???;Idrettshall;Praktisk;;;4319412:15-13:45???;4319412:15-13:45Idrettshall;1;1;1
;BI-IDR1401;Lek og sans;B;14;04.apr;onsdag;4;14:15-15:45;???;Idrettshall;Praktisk;;;4319414:15-15:45???;4319414:15-15:45Idrettshall;1;1;1
;BI-IDR1401;Svømming;1;14;05.apr;torsdag;1;08:15-09:45;Anne Sæther;;Praktisk;;;4319508:15-09:45Anne Sæther;4319508:15-09:45;1;3;3
;MG1KR2;Uteskole;;14;05.apr;torsdag;1;08:15-09:45;Simen Thorrud;;Teori;;;4319508:15-09:45Simen Thorrud;4319508:15-09:45;1;3;3
;MG2KR2;Teori KRØ;;14;05.apr;torsdag;1;08:15-09:45;???;;Teori;Spiseforstyrelser / kroppspress 1;;4319508:15-09:45???;4319508:15-09:45;1;3;3
;BI-FFH3000;Økt 12;;14;05.apr;torsdag;pha;08:15-14:00;Hilde Grønningsæther;;Teori;;;4319508:15-14:00Hilde Grønningsæther;4319508:15-14:00;1;1;1
;BI-IDR1401;Svømming;2;14;05.apr;torsdag;2;10:15-11:45;Anne Sæther;;Praktisk;;;4319510:15-11:45Anne Sæther;4319510:15-11:45;1;2;2
;MG1KR2;Uteskole;;14;05.apr;torsdag;2;10:15-11:45;Simen Thorrud;Ute;Praktisk;4 timer ute her!;;4319510:15-11:45Simen Thorrud;4319510:15-11:45Ute;1;1;1
;MG2KR2;Alt. Bevegelse akt.;;14;05.apr;torsdag;2;10:15-11:45;Erlend Ellefsen Vinje;;Teori;;;4319510:15-11:45Erlend Ellefsen Vinje;4319510:15-11:45;1;2;2
;BI-IDR1301;Kollokvie;;14;05.apr;torsdag;3;12:15-13:45;Markus Vagle;;Teori;;;4319512:15-13:45Markus Vagle;4319512:15-13:45;1;1;1
;MG1KR2;Uteskole;;14;05.apr;torsdag;3;12:15-13:45;Simen Thorrud;Ute;Praktisk;Ses i sammenheng med den over;;4319512:15-13:45Simen Thorrud;4319512:15-13:45Ute;1;1;1
;MG2KR2;Dans 3;;14;05.apr;torsdag;3;12:15-13:45;???;Dansesal;Praktisk;;;4319512:15-13:45???;4319512:15-13:45Dansesal;1;1;1
;MG1KR2;Uteskole;;14;06.apr;fredag;1;08:15-09:45;Simen Thorrud;;Teori;;;4319608:15-09:45Simen Thorrud;4319608:15-09:45;1;1;1
;MG1KR2;Uteskole;;14;06.apr;fredag;2;10:15-11:45;Simen Thorrud;Ute;Praktisk;;;4319610:15-11:45Simen Thorrud;4319610:15-11:45Ute;1;1;1
;MG2KR2;Teori KRØ;;14;06.apr;fredag;2;10:15-11:45;Heidi Lindsverk;;Teori;;;4319610:15-11:45Heidi Lindsverk;4319610:15-11:45;1;1;1
;MG2KR2;Dans 4;;14;06.apr;fredag;3;12:15-13:45;???;Dansesal;Praktisk;;;4319612:15-13:45???;4319612:15-13:45Dansesal;1;1;1
;G2-KRO1300;Praksis uke 15-16;;15;09.apr;mandag;;;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 15 & 16;;43199;43199;1;1;1
;BI-IDR1301;Treningslære;;15;09.apr;mandag;f;08:15-11:45;Markus Vagle;;Teori;;;4319908:15-11:45Markus Vagle;4319908:15-11:45;1;1;1
;BI-IDR1401;Svømming;3;15;09.apr;mandag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4319912:15-13:45Anne Sæther;4319912:15-13:45Svømmehall;1;1;1
;G1-KRO1100;Praksis uke 15-16;;15;09.apr;mandag;5;Hele dagen;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 15-16;;43199Hele dagen;43199Hele dagen;1;1;1
;BI-IDR1301;Treningslære;;15;10.apr;tirsdag;f;08:15-11:45;Eivind Andersen;;Teori;;;4320008:15-11:45Eivind Andersen;4320008:15-11:45;1;1;1
;BI-FAH2300;Økt 12;;15;10.apr;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4320012:15-15:45Anne Sæther;4320012:15-15:45;1;1;1
;BI-IDR1401;Svømming;1;15;11.apr;onsdag;1;08:15-09:45;Anne Sæther;Svømmehall;Praktisk;;;4320108:15-09:45Anne Sæther;4320108:15-09:45Svømmehall;1;1;1
;BI-IDR1401;Svømming;2;15;11.apr;onsdag;2;10:15-11:45;Anne Sæther;Svømmehall;Praktisk;;;4320110:15-11:45Anne Sæther;4320110:15-11:45Svømmehall;1;1;1
;BI-IDR1401;Svømming;3;15;11.apr;onsdag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4320112:15-13:45Anne Sæther;4320112:15-13:45Svømmehall;1;1;1
;MG1KR2;Teori KRØ;;15;12.apr;torsdag;f;08:15-11:45;Heidi Lindsverk;;Teori;;;4320208:15-11:45Heidi Lindsverk;4320208:15-11:45;1;1;1
;MG2KR2;Teori KRØ;;15;12.apr;torsdag;2;10:15-11:45;???;;Teori;Spiseforstyrelser / kroppspress 2;;4320210:15-11:45???;4320210:15-11:45;1;1;1
;MG2KR2;Dans 5;;15;12.apr;torsdag;3;12:15-13:45;???;Dansesal;Praktisk;;;4320212:15-13:45???;4320212:15-13:45Dansesal;1;1;1
;MG1KR2;Lek, akt. Og natur;;15;13.apr;fredag;2;10:15-11:45;Markus Johansen Aasland;Idrettshall;Praktisk;;;4320310:15-11:45Markus Johansen Aasland;4320310:15-11:45Idrettshall;1;1;1
;MG2KR2;Teori KRØ;;15;13.apr;fredag;2;10:15-11:45;Heidi Lindsverk;;Teori;;;4320310:15-11:45Heidi Lindsverk;4320310:15-11:45;1;1;1
;G2-KRO1300;Praksis uke 15-16;;16;16.apr;mandag;;;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 15 & 16;;43206;43206;1;1;1
;BI-IDR1301;Treningslære;;16;16.apr;mandag;f;08:15-11:45;Heidi Lindsverk;;Teori;;;4320608:15-11:45Heidi Lindsverk;4320608:15-11:45;1;1;1
;G1-KRO1100;Praksis uke 15-16;;16;16.apr;mandag;5;Hele dagen;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 15-16;;43206Hele dagen;43206Hele dagen;1;1;1
;BI-IDR1301;Treningslære;B;16;17.apr;tirsdag;f;08:15-11:45;Markus Vagle;Ute;Praktisk;;;4320708:15-11:45Markus Vagle;4320708:15-11:45Ute;1;1;1
;BI-FAH2300;Økt 13;;16;17.apr;tirsdag;e;12:15-15:45;Hilde Grønningsæther;;Teori;;;4320712:15-15:45Hilde Grønningsæther;4320712:15-15:45;1;1;1
;BI-IDR1301;Treningslære;A;16;17.apr;tirsdag;e;12:15-15:45;Markus Vagle;Ute;Praktisk;;;4320712:15-15:45Markus Vagle;4320712:15-15:45Ute;1;1;1
;MG1KR2;Alt. Bevegelse akt.;;16;19.apr;torsdag;1;08:15-09:45;Markus Johansen Aasland;;Teori;;;4320908:15-09:45Markus Johansen Aasland;4320908:15-09:45;1;1;1
;MG2KR2;Uteskole;;16;19.apr;torsdag;1;08:15-09:45;???;;Teori;;;4320908:15-09:45???;;;;
;MG1KR2;Alt. Bevegelse akt.;;16;19.apr;torsdag;2;10:15-11:45;Markus Johansen Aasland;Idrettshall;Praktisk;+ ute;;4320910:15-11:45Markus Johansen Aasland;;;;
;MG2KR2;Uteskole;;16;19.apr;torsdag;2;10:15-11:45;???;Ute;Praktisk;4 timer ute her!;;4320910:15-11:45???;;;;
;MG1KR2;Alt. Bevegelse akt.;;16;19.apr;torsdag;3;12:15-13:45;Markus Johansen Aasland;Ute;Praktisk;;;4320912:15-13:45Markus Johansen Aasland;;;;
;MG2KR2;Uteskole;;16;19.apr;torsdag;3;12:15-13:45;???;Ute;Praktisk;Ses i sammenheng med den over;;4320912:15-13:45???;;;;
;MG1KR2;Teori KRØ;;16;20.apr;fredag;1;08:15-09:45;Markus Johansen Aasland;;Teori;;;4321008:15-09:45Markus Johansen Aasland;;;;
;MG2KR2;Uteskole;;16;20.apr;fredag;1;08:15-09:45;???;;Teori;;;4321008:15-09:45???;;;;
;MG1KR2;Lek, akt. Og natur;;16;20.apr;fredag;2;10:15-11:45;Markus Johansen Aasland;Idrettshall;Praktisk;;;4321010:15-11:45Markus Johansen Aasland;;;;
;MG2KR2;Uteskole;;16;20.apr;fredag;2;10:15-11:45;???;Ute;Praktisk;;;4321010:15-11:45???;;;;
;G2-KRO1400;Teori KRØ;;17;23.apr;mandag;F;08:15-11:45;???;;Teori;;;4321308:15-11:45???;;;;
;G1-KRO1100;Orientering;;17;23.apr;mandag;2;10:15-11:45;Steinar Øvreås;Ute;Praktisk;;;4321310:15-11:45Steinar Øvreås;;;;
;G2-KRO1300;Fotball;;17;23.apr;mandag;3;12:15-13:45;Fredrik Lie Haugen;Ute;Praktisk;;;4321312:15-13:45Fredrik Lie Haugen;;;;
;G1-KRO1200;Teori KRØ;;17;23.apr;mandag;e;12:15-15:45;Markus Johansen Aasland;;Teori;;;4321312:15-15:45Markus Johansen Aasland;;;;
;G2-KRO1300;Friidrett;;17;24.apr;tirsdag;1;08:15-09:45;Fredrik Lie Haugen;Ute;Praktisk;;;4321408:15-09:45Fredrik Lie Haugen;;;;
;BI-IDR1301;Treningslære;;17;24.apr;tirsdag;F;08:15-11:45;Markus Vagle;;Teori;;;4321408:15-11:45Markus Vagle;;;;
;G2-KRO1300;Fotball;;17;24.apr;tirsdag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4321410:15-11:45Fredrik Lie Haugen;;;;
;BI-FAH2300;Økt 14;;17;24.apr;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4321412:15-15:45Anne Sæther;;;;
;G1-KRO1100;Friidrett;;17;25.apr;onsdag;1;08:15-09:45;Simen Thorrud;Ute;Praktisk;;;4321508:15-09:45Simen Thorrud;;;;
;G1-KRO1100;Orientering;;17;25.apr;onsdag;2;10:15-11:45;Steinar Øvreås;Ute;Praktisk;;;4321510:15-11:45Steinar Øvreås;;;;
;BI-IDR1301;Treningslære;;17;26.apr;torsdag;F;08:15-11:45;Heidi Lindsverk;;Teori;;;4321608:15-11:45Heidi Lindsverk;;;;
;MG2KR2;Teori KRØ;;17;26.apr;torsdag;2;10:15-11:45;Heidi Lindsverk;;Teori;;;4321610:15-11:45Heidi Lindsverk;;;;
;MG1KR2;Alt. Bevegelse akt.;;17;27.apr;fredag;1;08:15-09:45;Markus Johansen Aasland;;Teori;;;4321708:15-09:45Markus Johansen Aasland;;;;
;MG1KR2;Teori KRØ;;17;27.apr;fredag;2;10:15-11:45;Heidi Lindsverk;;Teori;;;4321710:15-11:45Heidi Lindsverk;;;;
;MG1KR2;Lek, akt. Og natur;;17;27.apr;fredag;3;12:15-13:45;Markus Johansen Aasland;Ute;Praktisk;;;4321712:15-13:45Markus Johansen Aasland;;;;
;MG2KR2;Studiedag;;17;27.apr;fredag;5;Hele dagen;;;;;;43217Hele dagen;;;;
;G1-KRO1100;Orientering;;18;02.mai;onsdag;1;08:15-09:45;Steinar Øvreås;Ute;Praktisk;;;4322208:15-09:45Steinar Øvreås;;;;
;G2-KRO1300;Fotball;;18;02.mai;onsdag;1;08:15-09:45;Fredrik Lie Haugen;Ute;Praktisk;;;4322208:15-09:45Fredrik Lie Haugen;;;;
;BI-FAH2300;Økt 15;;18;02.mai;onsdag;f;08:15-11:45;Anne Sæther;;Teori;;;4322208:15-11:45Anne Sæther;;;;
;G1-KRO1100;Studentinstruksjon;;18;02.mai;onsdag;2;10:15-11:45;Simen Thorrud;Idrettshall;Praktisk;;;4322210:15-11:45Simen Thorrud;;;;
;G2-KRO1300;Friidrett;;18;02.mai;onsdag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4322210:15-11:45Fredrik Lie Haugen;;;;
;G2-KRO1300;Studentinstruksjon;;18;02.mai;onsdag;3;12:15-13:45;???;Ute;Praktisk;;;4322212:15-13:45???;;;;
;G1-KRO1100;Friidrett;;18;03.mai;torsdag;1;08:15-09:45;Simen Thorrud;Ute;Praktisk;;;4322308:15-09:45Simen Thorrud;;;;
;G2-KRO1300;Fotball;;18;03.mai;torsdag;1;08:15-09:45;Fredrik Lie Haugen;Ute;Praktisk;;;4322308:15-09:45Fredrik Lie Haugen;;;;
;G1-KRO1100;Orientering;;18;03.mai;torsdag;2;10:15-11:45;Steinar Øvreås;Ute;Praktisk;;;4322310:15-11:45Steinar Øvreås;;;;
;G2-KRO1300;Friidrett;;18;03.mai;torsdag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4322310:15-11:45Fredrik Lie Haugen;;;;
;G2-KRO1400;Teori KRØ;;18;04.mai;fredag;1;08:15-09:45;???;;Teori;;;4322408:15-09:45???;;;;
;G1-KRO1200;Teori KRØ;;18;04.mai;fredag;f;08:15-11:45;Simen Thorrud;;Teori;;;4322408:15-11:45Simen Thorrud;;;;
;G2-KRO1300;Friidrett;;18;04.mai;fredag;2;10:15-11:45;Fredrik Lie Haugen;Ute;Praktisk;;;4322410:15-11:45Fredrik Lie Haugen;;;;
;G1-KRO1100;Friidrett;;18;04.mai;fredag;3;12:15-13:45;Simen Thorrud;Ute;Praktisk;;;4322412:15-13:45Simen Thorrud;;;;
;BI-IDR1301;EKSAMEN;;18;04.mai;fredag;5;Hele dagen;Markus Vagle;;;Skriftlig eksamen;;43224Hele dagenMarkus Vagle;;;;
;BI-IDR1401;Kano tur;;19;07.mai;mandag;5;Hele dagen;Fredrik Lie Haugen;Ute;;Overnattingstur fra 7/5 - 8/5;;;;;;
;BI-IDR1401;Kano tur;;19;08.mai;tirsdag;5;Hele dagen;Fredrik Lie Haugen;Ute;;;;;;;;
;BI-IDR1401;Trekk eksamen;;19;09.mai;onsdag;1;08:15-09:45;Fredrik Lie Haugen;;;;;;;;;
;BI-IDR1401;EKSAMEN;;20;14.mai;mandag;5;Hele dagen;Fredrik Lie Haugen;Idrettshall;Praktisk;+ svømmehall og dansesal;;;;;;
;BI-IDR1401;EKSAMEN;;20;15.mai;tirsdag;5;Hele dagen;Fredrik Lie Haugen;Idrettshall;Praktisk;+ dansesal;;;;;;
;BI-IDR1401;EKSAMEN;;20;16.mai;onsdag;5;Hele dagen;Fredrik Lie Haugen;Idrettshall;Praktisk;+ svømmehall og dansesal;;;;;;
;;;;;;lørdag;;;;;;;;;;;;
;;;;;;lørdag;;;;;;;;;;;;
;;;;;;lørdag;;;;;;;;;;;;
;;;;;;lørdag;;;;;;;;;;;;
;;;;;;lørdag;;;;;;;;;;260;302;302
;;;;;;lørdag;;;;;;;;;;261;303;303
;;;;;;lørdag;;;;;;;;;;262;304;304
